tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
3702	Arabidopsis thaliana	842120	0	live	PAP1	AT1G56650, ATMYB75, F25P12.92, F25P12_92, MYB DOMAIN PROTEIN 75, MYB75, MYELOBLASTOSIS PROTEIN 75, SIAA1, SUC-INDUCED ANTHOCYANIN ACCUMULATION 1, phosphatidic acid phosphatase 1, production of anthocyanin pigment 1	production of anthocyanin pigment 1			1	NC_003070.9	21233555	21235292	minus	3		
4577	Zea mays	100126972	0	live	R-S	ZEAMMB73_Zm00001d026147, ARLC, GRMZM5G822829, LC, S, S1, S2, SN, hopi, r, r1, r1-B73, r2k1, red-1	seed color component at R1	anthocyanin regulatory R-S protein|BHLH protein|anthocyanin regulator R-sc protein|anthocyanin regulatory Lc protein|helix-loop-helix type transcription factor R1|plant color component at R1|regulatory protein|transcription factor|v24 regulatory protein		10	NC_024468.2	139780815	139790282	plus	11		
3702	Arabidopsis thaliana	836237	0	live	AACT1	AT5G61160, MAF19.17, MAF19_17, anthocyanin 5-aromatic acyltransferase 1	anthocyanin 5-aromatic acyltransferase 1			5	NC_003076.8	24608605	24610329	plus	1		
29760	Vitis vinifera	100233134	0	live	FAOMT	VIT_00010469001, OMT3.1, VvAOMT	anthocyanin O-methyltransferase	flavonoid 3',5'-methyltransferase|Anthocyanin-O-methyltransferase|Flavonoid 3',5'-methyltransferase		1	NC_012007.3	20850133	20852279	plus	5		
4577	Zea mays	103646088	0	live	b1	ZEAMMB73_Zm00001d000236, B-I, B-Peru, GRMZM2G172795	colored plant 1	colored plant 1|550-b|B transcriptional activator|B1 transcription factor|R-2|R2|SC1|anthocyanin regulatory B protein|anthocyanin regulatory R-S protein-like|booster|colored plant1|gsy1(b1)|npi248-b1|p550-b|pBF250|regulatory protein|umc1776		2							
51953	Elaeis guineensis	105036198	0	live	LOC105036198		anthocyanin regulatory Lc protein-like	anthocyanin regulatory Lc protein-like		Un							
4555	Setaria italica	101782361	0	live	LOC101782361	SETIT_010074mg	anthocyanin 5-aromatic acyltransferase-like	anthocyanin 5-aromatic acyltransferase-like		VII	NC_028456.1	31114201	31121870	minus	5		
4081	Solanum lycopersicum	543897	0	live	ANT1		anthocyanin 1	anthocyanin 1|MYB transcription factor ANT1		10	NC_015447.2	65137653	65138664	minus	3		
3880	Medicago truncatula	11438858	0	live	MTR_2g018630	MTR_2g018630	1-O-acylglucose:anthocyanin acyltransferase			2	NC_016408.2	5876674	5883757	plus	14		
3880	Medicago truncatula	11419263	0	live	MTR_4g021520	MTR_4g021520	1-O-acylglucose:anthocyanin acyltransferase			4	NC_016410.2	7036411	7042836	plus	14		
3880	Medicago truncatula	25491575	0	live	MTR_4g021535	MTR_4g021535	1-O-acylglucose:anthocyanin acyltransferase			4	NC_016410.2	7051067	7058697	plus	14		
3880	Medicago truncatula	11421514	0	live	MTR_4g021500	MTR_4g021500	1-O-acylglucose:anthocyanin acyltransferase			4	NC_016410.2	7009840	7023079	plus	28		
